ABJ	5.261390	-3.926290
ABV	9.006790	7.263170
ABZ	57.201900	-2.197780
ACC	5.605190	-0.166786
ACE	28.945499	-13.605200
ADB	38.292400	27.157000
ADD	8.977890	38.799301
ADL	-34.945000	138.531006
AEP	-34.559200	-58.415600
AER	43.449902	39.956600
AGA	30.325001	-9.413070
AGP	36.674900	-4.499110
AJA	41.923599	8.802920
AKL	-37.008099	174.792007
ALA	43.352100	77.040497
ALC	38.282200	-0.558156
ALG	36.691002	3.215410
AMD	23.077200	72.634697
AMM	31.722601	35.993198
AMS	52.308601	4.763890
ANC	61.174400	-149.996002
APW	-13.830000	-172.007996
AQJ	29.611601	35.018101
ARN	59.651901	17.918600
ASB	37.986801	58.361000
ASU	-25.240000	-57.520000
ASW	23.964399	32.820000
ATH	37.936401	23.944500
ATL	33.636700	-84.428101
ATZ	27.046499	31.011999
AUA	12.501400	-70.015198
AUH	24.433001	54.651100
AUS	30.194500	-97.669899
AYT	36.898701	30.800501
BAH	26.270800	50.633598
BCN	41.297100	2.078460
BEG	44.818401	20.309099
BER	52.366700	13.503300
BEY	33.820900	35.488400
BFS	54.657501	-6.215830
BGO	60.293400	5.218140
BGW	33.262501	44.234600
BGY	45.673901	9.704170
BHX	52.453899	-1.748030
BIA	42.552700	9.483730
BIO	43.301102	-2.910610
BJV	37.250599	27.664301
BKK	13.681100	100.747002
BLQ	44.535400	11.288700
BLR	13.197900	77.706299
BNA	36.124500	-86.678200
BNE	-27.384199	153.117004
BOD	44.828300	-0.715556
BOG	4.701590	-74.146900
BOJ	42.569599	27.515200
BOM	19.088699	72.867897
BOS	42.364300	-71.005203
BRI	41.138901	16.760599
BRQ	49.151299	16.694401
BRS	51.382702	-2.719090
BRU	50.901402	4.484440
BSB	-15.869167	-47.920834
BSL	47.590000	7.529167
BSR	30.549101	47.662102
BTS	48.170200	17.212700
BUD	47.429760	19.261093
BUE	-34.822200	-58.535800
BUS	41.610298	41.599701
CAG	39.251499	9.054280
CAI	30.121901	31.405600
CAN	23.392401	113.299004
CBR	-35.306900	149.195007
CCS	10.601194	-66.991222
CCU	22.654699	88.446701
CDG	49.012798	2.550000
CEB	10.307500	123.978996
CFU	39.601898	19.911699
CGK	-6.125570	106.655998
CGN	50.865898	7.142740
CHC	-43.489399	172.531998
CHI	41.978600	-87.904800
CHQ	35.531700	24.149700
CIA	41.799400	12.594900
CJU	33.511299	126.492996
CLE	41.411701	-81.849800
CLJ	46.785198	23.686199
CLT	35.214001	-80.943100
CMB	7.180760	79.884102
CMH	39.998001	-82.891899
CMN	33.367500	-7.589970
CNS	-16.885799	145.755005
CNX	18.766800	98.962601
COK	10.152000	76.401901
CPH	55.617901	12.656000
CPT	-33.964802	18.601700
CRL	50.459202	4.453820
CTA	37.466801	15.066400
